,City,Country,Longitud,Latitud,Date,Max. Temperature,Humidity,Wind Speed,Cloudiness
276,Laas,IT,10.7,46.62,1586371361,20.0,20,3.6,55
277,Ţahţā,EG,31.5,26.77,1586371361,23.0,25,4.1,0
278,Nizip,TR,37.79,37.01,1586371361,13.0,76,2.29,40
279,Gambo,CF,22.26,4.65,1586371362,23.56,75,0.53,78
280,Gravelbourg,CA,-106.55,49.88,1586371326,1.85,53,12.47,29
281,Haines Junction,CA,-137.51,60.75,1586371362,-5.57,86,1.21,100
282,Mwanza,TZ,32.9,-2.52,1586371362,23.3,50,1.03,84
283,Berbera,SO,45.01,10.44,1586371362,28.86,70,4.58,0
284,Moree,AU,149.85,-29.47,1586371363,17.0,77,4.6,40
285,Vao,NC,167.48,-22.67,1586371363,23.63,74,6.35,10
286,Alice Springs,AU,133.88,-23.7,1586371216,18.0,48,2.1,40
287,Inyonga,TZ,32.07,-6.72,1586371363,19.8,63,1.64,94
288,Dwārka,IN,68.97,22.24,1586371222,25.47,88,5.78,0
289,Champerico,GT,-91.92,14.3,1586371364,36.0,47,5.1,20
290,Itarema,BR,-39.92,-2.92,1586371364,29.74,74,5.46,81
291,Rafai,CF,23.92,4.95,1586371365,25.49,59,0.1,97
292,Gorin,RU,136.67,51.2,1586371365,-4.57,93,1.55,0
293,Kikwit,CD,18.82,-5.04,1586371365,25.61,66,0.7,82
294,Kathu,TH,98.33,7.92,1586371365,27.0,88,1.0,20
295,Malanje,AO,16.34,-9.54,1586371366,20.35,64,0.39,1
296,Álamos,MX,-108.93,27.02,1586371366,30.0,38,2.24,99
297,Tautira,PF,-149.15,-17.73,1586371366,29.0,66,2.1,52
298,Hambantota,LK,81.12,6.12,1586371366,27.68,76,2.81,63
299,Khatanga,RU,102.5,71.97,1586371224,-4.97,96,4.46,100
300,Teguise,ES,-13.56,29.06,1586371367,23.0,64,8.7,20
301,Dhidhdhoo,MV,73.1,6.88,1586371367,29.67,69,2.79,11
302,Kirakira,SB,161.92,-10.45,1586371367,25.85,81,2.16,12
303,Balikpapan,ID,116.83,-1.27,1586371207,25.0,100,1.5,40
304,Xam Nua,LA,104.04,20.42,1586371368,17.37,70,1.15,60
305,Taoudenni,ML,-3.98,22.68,1586371368,34.75,9,4.69,0
306,Ouango,CF,22.56,4.31,1586371368,23.58,80,0.27,83
307,Oranjestad,AW,-70.03,12.52,1586371338,31.0,66,10.8,40
308,Río Gallegos,AR,-69.22,-51.62,1586371369,27.0,21,6.7,9
309,Noumea,NC,166.46,-22.28,1586370790,20.0,88,4.39,30
310,Benin,BJ,2.25,9.5,1586371369,33.89,36,2.35,64
311,Pangnirtung,CA,-65.71,66.15,1586371370,-7.0,73,1.0,20
312,Nhulunbuy,AU,136.77,-12.23,1586371370,25.0,88,2.6,40
313,Praia,CV,-23.51,14.92,1586371370,28.0,48,9.8,0
314,Srednekolymsk,RU,153.68,67.45,1586371370,-17.09,91,6.15,100
315,Kupang,ID,123.58,-10.17,1586371370,27.22,76,3.88,95
316,Cascais,PT,-9.42,38.7,1586371371,17.78,82,3.6,40
317,Matara,LK,80.54,5.95,1586371371,25.36,88,2.1,46
318,San Cristobal,VE,-72.22,7.77,1586371371,34.0,46,6.2,40
319,Wolfenbüttel,DE,10.55,52.17,1586371320,22.0,26,2.1,27
320,Arrecife,ES,-13.55,28.96,1586371356,23.0,64,8.7,20
321,Airai,TL,125.41,-8.93,1586371372,16.06,70,0.35,96
322,Loíza,PR,-65.88,18.43,1586371372,28.89,83,7.7,75
323,Avera,US,-82.53,33.19,1586371373,28.33,74,6.2,90
324,Olafsvik,IS,-23.71,64.89,1586371373,0.59,86,1.52,13
325,Bathsheba,BB,-59.52,13.22,1586371373,30.0,62,7.2,40
326,Dunedin,NZ,170.5,-45.87,1586371373,10.0,72,1.34,90
327,Hazorasp,UZ,61.07,41.32,1586371374,4.0,38,3.1,59
328,Nikolskoye,RU,30.79,59.7,1586371374,8.0,33,2.0,40
329,Abonnema,NG,6.79,4.71,1586371374,28.66,75,4.29,76
330,Shingū,JP,135.98,33.73,1586371374,9.02,59,2.72,0
331,Palmas Bellas,PA,-80.09,9.23,1586371374,33.0,59,4.6,75
332,Cabra,ES,-4.44,37.47,1586371375,21.67,56,3.6,100
333,Myatlevo,RU,35.68,54.9,1586371375,10.0,53,4.0,65
334,Kondinskoye,RU,67.41,59.65,1586371375,-3.98,97,6.87,100
335,Camacha,PT,-16.33,33.08,1586371375,22.0,77,4.6,40
336,Katsuura,JP,140.3,35.13,1586371376,13.0,76,4.1,0
337,Iqaluit,CA,-68.51,63.75,1586371376,-11.0,66,1.5,5
338,Bloemfontein,ZA,26.21,-29.12,1586371253,14.0,76,1.0,0
339,Distrikt Brokopondo,SR,-55.17,4.75,1586371376,29.7,66,2.52,94
340,Luz,BR,-45.69,-19.8,1586371376,26.98,58,1.36,65
341,Cherskiy,RU,161.3,68.75,1586371377,-18.92,89,6.73,98
342,Chazuta,PE,-76.14,-6.57,1586371377,17.0,100,3.1,90
343,Teya,RU,92.63,60.38,1586371377,2.09,78,4.51,100
344,Kroya,ID,109.25,-7.63,1586371377,26.03,85,1.13,94
345,Mulegé,MX,-111.98,26.88,1586371378,22.78,45,1.75,100
346,Lompoc,US,-120.46,34.64,1586371378,13.89,76,1.5,1
347,Acapulco de Juárez,MX,-99.89,16.86,1586371329,30.0,48,2.6,40
348,Yulara,AU,130.99,-25.24,1586371378,17.0,45,3.1,65
349,Hamilton,US,-84.53,39.18,1586371379,26.11,39,7.7,75
350,Shivrājpur,IN,73.65,22.42,1586371379,25.34,51,3.0,9
351,Provideniya,RU,-173.3,64.38,1586371379,-16.01,91,2.19,63
352,Marsá Maţrūḩ,EG,27.25,31.35,1586371379,15.0,67,4.6,40
353,Sarāhan,IN,77.8,31.52,1586371379,4.93,25,3.4,2
354,Mt. Pleasant,US,-79.86,32.79,1586371380,30.0,61,3.6,20
355,Eureka,US,-124.16,40.8,1586371164,18.89,76,3.1,1
356,Ranong,TH,98.63,9.97,1586371205,26.7,81,1.97,41
357,Anadyr,RU,177.48,64.75,1586371204,-16.0,77,3.0,75
358,Bakchar,RU,82.07,57.02,1586371381,-1.26,91,5.43,16
359,Karratha,AU,116.85,-20.74,1586371084,27.33,64,2.42,12
360,Erenhot,CN,111.98,43.65,1586371381,2.16,42,6.05,3
361,Port-Cartier,CA,-66.87,50.03,1586371381,0.53,90,3.04,17
362,Viedma,AR,-63.0,-40.81,1586371381,22.19,20,5.86,0
363,Hereford,GB,-2.71,52.06,1586371382,18.89,53,0.68,29
364,Tiznit Province,MA,-9.5,29.58,1586371382,24.64,32,2.66,62
365,Cervo,ES,-7.41,43.67,1586371382,16.67,1,1.79,100
366,Half Moon Bay,US,-122.43,37.46,1586371382,17.78,82,2.6,90
367,Galle,LK,80.22,6.04,1586371383,26.81,83,2.66,30
368,Andra,RU,65.89,62.51,1586371383,-5.63,96,6.99,100
369,Kemin,KG,75.69,42.78,1586371383,6.67,43,0.99,98
370,Clarence Town,AU,151.78,-32.58,1586371383,17.22,93,2.1,90
371,Santo Tomas,PH,121.14,14.11,1586371384,28.0,69,1.0,20
372,Shimanovsk,RU,127.7,52.0,1586371384,-1.24,89,3.33,0
373,Port Keats,AU,129.55,-14.25,1586371384,26.4,65,5.64,99
374,Saint Paul,US,-93.09,44.94,1586371155,12.78,37,7.2,90
375,West Wendover,US,-114.07,40.74,1586371385,17.0,33,5.7,1
376,Kruisfontein,ZA,24.73,-34.0,1586371385,15.61,69,6.53,99
377,Labytnangi,RU,66.42,66.66,1586371385,-7.79,93,5.09,100
378,Catia La Mar,VE,-67.03,10.6,1586371386,31.67,44,4.6,100
379,Lanzhou,CN,103.79,36.06,1586371386,12.22,31,2.0,59
380,Cayenne,GF,-52.33,4.93,1586371386,30.0,70,5.7,75
381,Port Hawkesbury,CA,-61.35,45.62,1586371386,5.0,35,3.1,75
382,Illescas,ES,-3.85,40.12,1586371387,21.0,63,2.6,20
383,Pimentel,PE,-79.93,-6.84,1586371387,19.0,29,4.6,79
384,Bubaque,GW,-15.83,11.28,1586371387,26.55,71,6.82,0
385,Balabac,PH,117.06,7.99,1586371387,26.29,72,1.46,25
386,Krasnyy Yar,RU,48.35,46.53,1586371387,5.0,44,5.0,18
387,Zyryanka,RU,150.85,65.75,1586371388,-12.03,94,10.2,100
388,Saint George,US,-113.58,37.1,1586371370,22.22,18,2.1,1
389,Lima,PE,-77.03,-12.04,1586371288,27.0,65,6.2,28
390,Touros,BR,-35.46,-5.2,1586371388,31.0,66,5.1,40
391,Werda,BW,23.28,-25.27,1586371389,22.46,18,2.48,4
392,Stromness,GB,-3.3,58.97,1586371389,8.0,61,5.7,17
393,Griffith,US,-87.42,41.53,1586371285,23.89,52,1.5,1
394,Shīeli,KZ,66.75,44.17,1586371390,6.61,51,5.99,98
395,San Andrés,CO,-81.7,12.58,1586371206,32.0,62,5.7,40
396,Concordia,AR,-58.02,-31.39,1586371390,21.11,46,3.1,0
397,Kaitangata,NZ,169.85,-46.28,1586371131,8.89,72,0.45,99
398,Zhigalovo,RU,105.16,54.81,1586371391,1.77,70,1.08,0
399,Qaqortoq,GL,-46.03,60.72,1586371367,7.0,20,2.1,75
400,Nivelles,BE,4.33,50.6,1586371391,22.0,32,1.0,68
401,Cockburn Town,TC,-71.14,21.46,1586371391,25.01,69,4.34,6
402,Bilma,NE,12.92,18.69,1586371391,32.0,11,4.59,42
403,Kimbe,PG,150.14,-5.55,1586371392,24.49,88,1.15,67
404,Brusyliv,UA,29.53,50.28,1586371392,13.33,32,3.0,0
405,Laguna,US,-121.42,38.42,1586371392,17.78,76,1.55,1
406,San Patricio,MX,-104.7,19.22,1586371182,28.0,69,5.1,20
407,Lebu,CL,-73.65,-37.62,1586371393,18.64,52,2.34,0
408,Bundibugyo,UG,30.04,0.74,1586371393,23.9,48,0.96,60
409,Kinablangan,PH,126.55,7.69,1586371393,25.05,81,2.57,8
410,Mayo,US,-76.51,38.89,1586371393,26.11,49,5.7,40
411,Saint-Joseph,RE,55.62,-21.37,1586371394,26.0,83,2.6,13
412,Jiwani,PK,61.74,25.05,1586371394,25.83,71,4.37,0
413,Motygino,RU,94.76,58.18,1586371394,2.39,86,3.06,99
414,Puerto Escondido,MX,-97.07,15.85,1586371380,29.0,66,3.6,5
415,Katherine,AU,132.27,-14.47,1586371395,22.0,94,5.1,90
416,Vila Franca do Campo,PT,-25.43,37.72,1586371395,18.0,82,6.7,20
417,Rocha,UY,-54.33,-34.48,1586371395,16.55,61,6.08,84
418,Mago,RU,140.18,53.25,1586371395,-6.16,95,1.83,0
419,Amahai,ID,128.92,-3.33,1586371395,26.36,76,2.5,19
420,Alyangula,AU,136.42,-13.85,1586371396,24.0,94,3.43,99
421,Mount Isa,AU,139.5,-20.73,1586371396,24.0,31,5.1,96
422,Taunggyi,MM,97.03,20.78,1586371114,16.33,34,0.51,52
423,Natchez,US,-91.4,31.56,1586371105,28.0,65,6.2,90
424,Codrington,AU,141.97,-38.27,1586371397,13.26,86,5.05,1
425,Narganá,PA,-78.59,9.44,1586371397,28.05,80,6.15,98
426,Umluj,SA,37.27,25.02,1586371397,25.7,44,3.76,0
427,Tura,IN,90.22,25.52,1586371397,22.18,46,3.65,4
428,Shenzhen,CN,114.07,22.55,1586371398,21.11,64,4.6,20
429,Hervey Bay,AU,152.85,-25.3,1586371107,20.56,88,3.6,90
430,Takoradze,GH,-1.76,4.88,1586371398,28.75,77,4.93,2
431,Turangi,NZ,175.93,-39.0,1586371398,10.0,99,1.52,87
432,Mirandopólis,BR,-51.1,-21.13,1586371399,26.85,59,2.75,24
433,Macrohon,PH,124.94,10.08,1586371399,26.4,82,3.17,8
434,Marzuq,YE,46.47,14.4,1586371399,24.59,25,3.3,0
435,Husavik,IS,-17.34,66.04,1586371399,1.0,55,1.0,36
436,Marang,MY,103.21,5.21,1586371400,27.0,88,1.5,20
437,São José da Coroa Grande,BR,-35.15,-8.9,1586371400,29.33,63,4.48,44
438,Nara,JP,135.8,34.69,1586371327,10.0,66,7.2,2
439,Seoul,KR,126.98,37.57,1586371365,7.0,42,1.5,1
440,Samaná,DO,-69.34,19.21,1586371400,27.0,88,5.1,75
441,Tocopilla,CL,-70.2,-22.09,1586371401,28.52,37,3.05,27
442,Zeya,RU,127.27,53.75,1586371401,-3.93,92,1.94,0
443,Warrnambool,AU,142.48,-38.38,1586371401,9.44,95,4.47,1
444,Sarkand,KZ,79.92,45.41,1586371402,5.05,58,1.11,96
445,North Bend,US,-124.22,43.41,1586371126,16.11,76,4.6,1
446,Manitouwadge,CA,-85.84,49.12,1586371402,1.0,100,1.0,90
447,Wanning,CN,110.4,18.8,1586371402,24.17,89,3.86,53
448,Yenotayevka,RU,47.03,47.25,1586371403,6.62,51,4.72,6
449,Kavaratti,IN,72.64,10.57,1586371403,28.9,68,4.98,2
450,Severo-Kuril'sk,RU,156.12,50.68,1586371403,-1.03,96,1.55,99
451,Kearney,US,-99.08,40.7,1586371403,20.0,34,12.9,1
452,Oddur,SO,43.89,4.12,1586371404,29.35,43,5.86,37
453,Quatre Cocos,MU,57.76,-20.21,1586371404,27.0,78,4.6,40
454,Eyl,SO,49.82,7.98,1586371404,28.16,62,5.01,1
455,Nabire,ID,135.48,-3.37,1586371404,24.87,88,0.27,100
456,Ngunguru,NZ,174.5,-35.62,1586371405,13.33,84,2.24,35
457,Forsytheganj,BY,29.73,52.63,1586371405,8.24,63,2.02,1
458,Kasungu,MW,33.48,-13.03,1586371405,19.22,70,2.22,45
459,Warrington,GB,-2.58,53.39,1586371393,18.33,55,5.1,44
460,Araouane,ML,-3.53,18.9,1586371406,32.77,8,3.05,0
461,Gravdal,NO,13.5,68.12,1586371406,3.0,74,7.7,75
462,Pudem,RU,52.17,58.3,1586371407,0.09,92,2.24,100
463,Deputatsky,RU,139.9,69.3,1586371407,-20.39,85,2.12,12
464,Korčula,HR,17.14,42.96,1586371407,13.86,62,3.69,0
465,Diamantino,BR,-56.45,-14.41,1586371407,30.72,56,2.85,77
466,Santa Rita,BR,-34.98,-7.11,1586371408,31.0,62,5.7,20
467,Canutama,BR,-64.38,-6.53,1586371277,28.56,87,1.3,90
468,Mount Gambier,AU,140.77,-37.83,1586371408,9.0,100,3.1,8
469,Barranca,PE,-77.77,-10.75,1586371408,26.27,62,5.55,24
470,Khor,RU,134.95,47.89,1586371409,1.75,81,4.11,100
471,Punta Alta,AR,-62.07,-38.88,1586371409,19.1,33,2.4,0
472,Östersund,SE,14.64,63.18,1586371409,1.0,77,4.1,100
473,Uíge,AO,15.06,-7.61,1586371409,21.93,68,1.0,9
474,Sidi Ali,DZ,0.42,36.1,1586371410,17.42,60,4.52,64
475,Jertih,MY,102.49,5.73,1586371410,28.0,83,1.5,20
476,Awjilah,LY,21.29,29.11,1586371410,19.83,36,2.15,66
477,Araguaína,BR,-48.21,-7.19,1586371410,29.26,70,0.9,100
478,Kristianstad,SE,14.15,56.03,1586371411,12.22,55,2.6,93
479,Rassvet,RU,40.75,46.83,1586371411,6.19,55,1.86,7
480,Port Lincoln,AU,135.87,-34.73,1586371411,15.33,82,5.28,30
481,Santa Cruz de la Sierra,BO,-63.17,-17.8,1586371290,30.0,42,5.7,75
482,Westport,US,-73.36,41.14,1586371264,17.0,71,2.1,90
483,Mildura,AU,142.15,-34.2,1586371167,12.0,87,3.1,77
484,Borova,UA,30.1,50.18,1586371412,13.33,30,3.0,0
485,Kozhva,RU,57.05,65.11,1586371412,-8.41,96,1.64,65
486,Sirte,LY,16.59,31.21,1586371413,15.42,67,5.59,12
487,Rabo de Peixe,PT,-25.58,37.8,1586371413,18.0,82,6.7,20
488,Mahon,ES,4.27,39.89,1586371413,16.0,67,2.1,2
489,Ulladulla,AU,150.47,-35.35,1586371414,15.0,93,3.6,40
490,Alexander City,US,-85.95,32.94,1586371196,26.67,74,2.1,75
491,Chalisgaon,IN,75.02,20.47,1586371414,28.02,23,3.18,0
492,Yangi Marg`ilon,UZ,71.72,40.43,1586371414,4.0,80,8.2,90
493,Hofn,IS,-15.21,64.25,1586371415,3.0,55,5.1,75
494,Qarchī Gak,AF,66.79,37.04,1586371415,3.0,71,10.3,90
495,Kahului,US,-156.47,20.89,1586371415,24.44,78,2.1,1
496,Bowen,AU,148.23,-20.02,1586371407,22.22,94,2.6,4
497,Juneau,US,-134.42,58.3,1586371415,2.22,84,14.4,90
498,Shakhtinsk,KZ,72.59,49.71,1586371416,-2.0,79,1.0,84
499,Nantucket,US,-70.1,41.28,1586371416,10.0,70,6.2,90
500,Skjervøy,NO,20.97,70.03,1586371416,2.0,93,5.1,75
501,Chissamba,AO,17.33,-12.17,1586371416,19.55,54,1.25,6
502,Vilyuysk,RU,121.62,63.76,1586371417,-0.67,97,2.87,100
503,São Gabriel da Cachoeira,BR,-67.09,-0.13,1586371417,28.0,88,4.6,75
504,Paamiut,GL,-49.67,61.99,1586371417,1.43,82,1.62,67
505,Prince Rupert,CA,-130.32,54.32,1586371418,6.0,56,7.7,90
506,Marawi,PH,124.29,8.0,1586371418,19.77,69,0.81,10
507,Ormond Beach,US,-81.06,29.29,1586371418,31.11,66,5.1,40
508,Porosozero,RU,32.73,62.72,1586371418,3.18,72,4.93,92
509,Longyearbyen,SJ,15.64,78.22,1586371418,-20.0,64,3.1,20
510,Pangai,TO,-174.35,-19.8,1586371419,28.0,83,8.7,75
511,Usinsk,RU,57.53,65.99,1586371419,-9.04,94,3.47,48
512,Shafranovo,RU,54.77,53.97,1586371419,-1.85,93,3.12,81
513,Lárdos,GR,28.02,36.09,1586371419,15.0,87,2.6,75
514,Zelenoborskiy,RU,32.36,66.84,1586371420,2.35,82,5.78,98
515,Karpathos,GR,27.21,35.51,1586371420,15.0,72,9.8,20
516,Labuhan,ID,112.21,-6.88,1586371420,25.19,86,2.13,100
517,Puno,PE,-70.03,-15.83,1586371420,17.0,14,3.1,40
518,Boca do Acre,BR,-67.4,-8.75,1586371307,31.52,53,1.8,97
519,Shache,CN,77.24,38.42,1586371421,16.09,17,2.88,18
520,Quelimane,MZ,36.89,-17.88,1586371421,25.85,80,3.37,0
521,Storforshei,NO,14.52,66.4,1586371421,2.0,80,4.1,90
522,Phuket,TH,98.25,8.0,1586371401,27.0,88,1.0,20
523,Omsukchan,RU,155.8,62.53,1586371422,-10.59,80,1.35,98
524,Verkhnyaya Inta,RU,60.31,65.98,1586371422,-13.25,93,3.61,48
525,Vila do Maio,CV,-23.22,15.13,1586371422,28.0,48,9.8,0
526,Surgut,RU,73.42,61.25,1586371423,-4.0,85,8.0,75
527,Mikhaylovka,RU,43.24,50.06,1586371423,9.44,36,5.92,21
528,Dickinson,US,-95.05,29.46,1586371423,29.44,78,2.6,90
529,San Vicente,AR,-54.13,-26.62,1586371423,22.02,28,2.17,0
530,Temir,KZ,57.13,49.14,1586371424,1.28,76,4.44,95
531,Faanui,PF,-151.75,-16.48,1586371424,28.05,75,6.41,70
532,Troy,US,-83.15,42.61,1586371424,21.11,37,3.1,1
533,Samaro,PK,69.4,25.28,1586371424,30.08,27,6.02,12
534,Santiago del Estero,AR,-64.26,-27.8,1586371425,19.38,40,3.09,97
535,Zhireken,RU,117.31,52.82,1586371425,-2.83,72,0.98,4
536,Biak,ID,122.88,-0.91,1586371425,26.0,68,1.29,88
537,Padang,ID,100.35,-0.95,1586371425,25.81,75,1.27,100
538,Grindavik,IS,-22.43,63.84,1586371426,3.0,59,1.5,20
539,Vitória de Santo Antão,BR,-35.29,-8.12,1586371426,30.0,66,4.6,20
540,Havelock,US,-76.9,34.88,1586371426,28.89,42,6.2,1
541,Samagaltay,RU,95.0,50.6,1586371426,-2.41,66,1.0,95
542,Excelsior Springs,US,-94.23,39.34,1586371427,30.0,23,3.1,1
543,Robertsport,LR,-11.37,6.75,1586371427,28.48,78,3.8,33
544,Viljandi,EE,25.59,58.36,1586371427,9.0,57,3.6,56
545,Calvinia,ZA,19.78,-31.47,1586371427,16.37,19,3.1,99
546,Tromsø,NO,18.96,69.65,1586371428,0.0,88,9.3,90
547,Nangong,CN,115.37,37.36,1586371428,9.48,48,3.78,100
548,Mumford,GH,-0.76,5.26,1586371428,28.51,79,5.02,1
549,Tupik,RU,119.93,54.43,1586371428,-7.59,87,0.8,6
550,Torzhok,RU,34.96,57.04,1586371429,3.27,83,1.58,54
551,Huarmey,PE,-78.15,-10.07,1586371429,28.53,53,5.12,31
552,Rawlins,US,-107.24,41.79,1586371429,12.0,32,6.72,1
553,Margate,GB,1.39,51.38,1586371210,16.67,76,3.1,10
